служанка,{'104022-2.txt': [4298]}
трюм,{'104022-2.txt': [4344]}
припрятать,{'104022-2.txt': [4349]}
контрабандный,{'104022-2.txt': [4360]}
кофе,{'104022-2.txt': [4374]}
чудесный,{'104022-2.txt': [4381]}
табак,{'104022-2.txt': [4390]}
тиша,{'104022-2.txt': [4422]}
идет,{'104022-2.txt': [4433]}
узнать,"{'104022-2.txt': [4465, 11272]}"
приезд,"{'104022-2.txt': [4479, 8922]}"
идти,"{'104022-2.txt': [4488, 8959, 11063]}"
поздравить,{'104022-2.txt': [4493]}
счастливый,"{'104022-2.txt': [4509, 5603]}"
возвращением,{'104022-2.txt': [4520]}
уста,{'104022-2.txt': [4543]}
между,"{'104022-2.txt': [4569, 5375, 10760, 12458, 14577]}"
думать,"{'104022-2.txt': [4590, 5756, 10219, 10373, 10681]}"
равно,"{'104022-2.txt': [4630, 8849]}"
оказать,"{'104022-2.txt': [4651, 7054]}"
когдато,{'104022-2.txt': [4662]}
услуга,"{'104022-2.txt': [4670, 5105, 9470]}"
принять,{'104022-2.txt': [4677]}
ласково,{'104022-2.txt': [4688]}
успеть,{'104022-2.txt': [4701]}
договорить,{'104022-2.txt': [4715]}
показаться,{'104022-2.txt': [4738]}
чёрный,"{'104022-2.txt': [4749, 6230, 10581, 12862]}"
бородатый,{'104022-2.txt': [4756]}
голова,{'104022-2.txt': [4766]}
держать,{'104022-2.txt': [4842]}
кусок,{'104022-2.txt': [4850]}
сукно,"{'104022-2.txt': [4856, 5661]}"
согласно,{'104022-2.txt': [4873]}
ремесло,"{'104022-2.txt': [4887, 6513]}"
портной,"{'104022-2.txt': [4895, 6110]}"
намереваться,{'104022-2.txt': [4903]}
превратить,{'104022-2.txt': [4916]}
одежду,{'104022-2.txt': [4929]}
приехать,{'104022-2.txt': [4940]}
сильный,{'104022-2.txt': [4969]}
марсельский,"{'104022-2.txt': [4977, 12423]}"
широко,{'104022-2.txt': [4996]}
видный,{'104022-2.txt': [5021]}
зуб,{'104022-2.txt': [5041]}
белые,{'104022-2.txt': [5045]}
слоновый,{'104022-2.txt': [5055]}
кость,{'104022-2.txt': [5064]}
труд,{'104022-2.txt': [5146]}
скрывать,{'104022-2.txt': [5151]}
холодность,{'104022-2.txt': [5160]}
под,"{'104022-2.txt': [5171, 11383]}"
любезный,{'104022-2.txt': [5175]}
тоном,{'104022-2.txt': [5184]}
покорно,{'104022-2.txt': [5192]}
благодарить,{'104022-2.txt': [5200]}
нужно,"{'104022-2.txt': [5233, 6497, 7758, 8822]}"
даже,"{'104022-2.txt': [5241, 9428]}"
иной,{'104022-2.txt': [5246]}
нуждаться,"{'104022-2.txt': [5266, 9719]}"
вздрогнуть,{'104022-2.txt': [5283]}
про,{'104022-2.txt': [5299]}
говорить,"{'104022-2.txt': [5306, 5542, 5721, 8869, 9229, 9276, 9865, 10004, 10825, 11852, 13615, 14271, 14413]}"
дать,{'104022-2.txt': [5324]}
взаймы,"{'104022-2.txt': [5339, 9588]}"
отдать,"{'104022-2.txt': [5355, 14388]}"
водиться,{'104022-2.txt': [5366]}
добрый,"{'104022-2.txt': [5381, 6818]}"
расчете,{'104022-2.txt': [5401]}
бывать,"{'104022-2.txt': [5422, 6569]}"
расчёт,{'104022-2.txt': [5431]}
кто,"{'104022-2.txt': [5444, 7593, 9609, 10982]}"
помочь,{'104022-2.txt': [5451]}
денежный,{'104022-2.txt': [5479]}
долг,"{'104022-2.txt': [5488, 5515]}"
возвратить,{'104022-2.txt': [5493]}
оставаться,{'104022-2.txt': [5504]}
благодарности,{'104022-2.txt': [5520]}
прошлый,{'104022-2.txt': [5569]}
поговорить,{'104022-2.txt': [5577]}
возвращение,{'104022-2.txt': [5614]}
порт,{'104022-2.txt': [5636]}
поискать,{'104022-2.txt': [5641]}
коричневый,{'104022-2.txt': [5650]}
встретить,{'104022-2.txt': [5669]}
приятель,"{'104022-2.txt': [5684, 6090, 8855]}"
марсел,{'104022-2.txt': [5713]}
ему,{'104022-2.txt': [5730]}
видишь,{'104022-2.txt': [5743]}
смирне,{'104022-2.txt': [5768]}
там,"{'104022-2.txt': [5792, 7551]}"
потому,"{'104022-2.txt': [5796, 6031, 8144, 9595, 14366]}"
оттуда,{'104022-2.txt': [5813]}
эдмон,"{'104022-2.txt': [5835, 8048, 8973]}"
верно,{'104022-2.txt': [5846]}
прийти,"{'104022-2.txt': [5887, 7133, 11187]}"
продолжать,"{'104022-2.txt': [5894, 6099, 7240, 8354, 9834]}"
приветствовать,{'104022-2.txt': [5919]}
друга,{'104022-2.txt': [5934]}
славный,{'104022-2.txt': [5942]}
